symbol,price
BTC,21025.54481096565
ETH,1176.4350640724083
USDT,1.0003493724013992
USDC,1.001
BNB,234.69083280667311
BUSD,1.003
XRP,0.3266448803181689
ADA,0.4654915561541061
SOL,37.06926171411486
DOGE,0.06730938101050582
DOT,6.865383632813902
SHIB,0.00001125
DAI,0.0674880005462864
TRX,19.34
AVAX,1146.54
WBTC,0.5780663543226584
STETH,52.62201232669722
MATIC,25.944504206860106
LTC,0.11975491772795037
FTT,6.189999371789418
CRO,6.300466537478674
LINK,0.10734584486336952
UNI,3.5596256901320276
XLM,8.740696294736146
NEAR,126.68337882987969
ATOM,0.101697
XMR,0.3092993065213665
XCN,15.200123406726606
ALGO,107.91468466639427
ETC,0.051747
BCH,0.02355028250506805
TFUEL,1.6387089368427996
VET,6.49
FLOW,0.8726640097574342
ICP,0.18001389519065333
MANA,1.17
VGX,421.95
SAND,1.629361577066335
CWBTC,4.83
XTZ,0.06482840261385278
APE,1.001
HBAR,0.00688447
FRAX,5.52
HEART,1.0001263543817869
FIL,14.59
TUSD,1.2077159619586708
AXS,52.50202132845937
THETA,62.012836646961446
EGLD,9.4
BCHA,1.0124792785573913
HNT,80.05
QNT,76.36095744216665
AAVE,54.67279088151211
BSV,1.0106915428899357
EOS,0.02266288
CUSDC,9.32
KCS,951.2994635274288
MKR,9.09735
BTT,0.9991807215889319
USDP,0.3012868254413096
MIOTA,0.00004083
HBTC,0.00011342
XEC,59.47248366806015
LUNC,0.990238
ZEC,0.10052380689553653
USDN,0.997507
GRT,3.52
USDD,2.32
RUNE,0.237171
KLAY,0.26637914394360085
FTM,4.37862733420844
HT,9.160578163702322
NEO,23.68
CETH,0.064006
XRD,1823.8249966841156
PAXG,0.40899383780989823
BAT,11.89
AR,3.959287029213994
GT,0.022052099950477
CDAI,0.039515093959971756
ZIL,0.958159
GMT,0.10490090522247603
CHZ,1.014
DFI,2.4434401600198385
SNX,0.00017035
ECOIN,0.4669191505165892
BTMX,0.408427
STX,1024.2420439074997
FEI,0.998023
WAVES,5.144724052827184
USTC,0.052317
BIT,0.450951
ENJ,0.529377541356074
DASH,45.5351436846056
LRC,0.39111642453457096
CUSDT,12387.05
BOT,
